code,value
22112,0.793
22113,0.78
22114,0.646
22115,0.611
22121,0.784
22122,0.751
22123,0.738
22124,0.604
22125,0.569
22131,0.773
22132,0.74
22133,0.727
22134,0.593
22135,0.558
22141,0.582
22142,0.549
22143,0.536
22144,0.48
22145,0.445
22151,0.541
22152,0.508
22153,0.495
22154,0.439
22155,0.404
22211,0.805
22212,0.772
22213,0.759
22214,0.625
22215,0.59
22221,0.763
22222,0.73
22223,0.717
22224,0.583
22225,0.548
22231,0.752
22232,0.719
22233,0.706
22234,0.572
22235,0.537
22241,0.561
22242,0.528
22243,0.515
22244,0.459
22245,0.424
22251,0.52
22252,0.487
22253,0.474
22254,0.418
22255,0.383
22311,0.775
22312,0.742
22313,0.729
22314,0.595
22315,0.56
22321,0.733
22322,0.7
22323,0.687
22324,0.553
22325,0.518
22331,0.722
22332,0.689
22333,0.676
22334,0.542
22335,0.507
22341,0.531
22342,0.498
22343,0.485
22344,0.429
22345,0.394
22351,0.49
22352,0.457
22353,0.444
22354,0.388
22355,0.353
22411,0.648
22412,0.615
22413,0.602
22414,0.546
22415,0.511
22421,0.606
22422,0.573
22423,0.56
22424,0.504
22425,0.469
22431,0.595
22432,0.562
22433,0.549
22434,0.493
22435,0.458
22441,0.482
22442,0.449
22443,0.436
22444,0.38
22445,0.345
22451,0.441
22452,0.408
22453,0.395
22454,0.339
22455,0.304
22511,0.573
22512,0.54
22513,0.527
22514,0.471
22515,0.436
22521,0.531
22522,0.498
22523,0.485
22524,0.429
22525,0.394
22531,0.52
22532,0.487
22533,0.474
22534,0.418
22535,0.383
22541,0.407
22542,0.374
22543,0.361
22544,0.305
22545,0.27
22551,0.366
22552,0.333
22553,0.32
22554,0.264
22555,0.229
23111,0.808
23112,0.775
23113,0.762
23114,0.628
23115,0.593
23121,0.766
23122,0.733
23123,0.72
23124,0.586
23125,0.551
23131,0.755
23132,0.722
23133,0.709
23134,0.575
23135,0.54
23141,0.564
23142,0.531
23143,0.518
23144,0.462
23145,0.427
23151,0.523
23152,0.49
23153,0.477
23154,0.421
23155,0.386
23211,0.787
23212,0.754
23213,0.741
23214,0.607
23215,0.572
23221,0.745
23222,0.712
23223,0.699
23224,0.565
23225,0.53
23231,0.734
23232,0.701
23233,0.688
23234,0.554
23235,0.519
23241,0.543
23242,0.51
23243,0.497
23244,0.441
23245,0.406
23251,0.502
23252,0.469
23253,0.456
23254,0.4
23255,0.365
23311,0.757
23312,0.724
23313,0.711
23314,0.577
23315,0.542
23321,0.715
23322,0.682
23323,0.669
23324,0.535
23325,0.5
23331,0.704
23332,0.671
23333,0.658
23334,0.524
23335,0.489
23341,0.513
23342,0.48
23343,0.467
23344,0.411
23345,0.376
23351,0.472
23352,0.439
23353,0.426
23354,0.37
23355,0.335
23411,0.63
23412,0.597
23413,0.584
23414,0.528
23415,0.493
23421,0.588
23422,0.555
23423,0.542
23424,0.486
23425,0.451
23431,0.577
23432,0.544
23433,0.531
23434,0.475
23435,0.44
23441,0.464
23442,0.431
23443,0.418
23444,0.362
23445,0.327
23451,0.423
23452,0.39
23453,0.377
23454,0.321
23455,0.286
23511,0.555
23512,0.522
23513,0.509
23514,0.453
23515,0.418
23521,0.513
23522,0.48
23523,0.467
23524,0.411
23525,0.376
23531,0.502
23532,0.469
23533,0.456
23534,0.4
23535,0.365
23541,0.389
23542,0.356
23543,0.343
23544,0.287
23545,0.252
23551,0.348
23552,0.315
23553,0.302
23554,0.246
23555,0.211
24111,0.702
24112,0.669
24113,0.656
24114,0.6
24115,0.565
24121,0.66
24122,0.627
24123,0.614
24124,0.558
24125,0.523
24131,0.649
24132,0.616
24133,0.603
24134,0.547
24135,0.512
24141,0.536
24142,0.503
24143,0.49
24144,0.434
24145,0.399
24151,0.495
24152,0.462
24153,0.449
24154,0.393
24155,0.358
24211,0.681
24212,0.648
24213,0.635
24214,0.579
24215,0.544
24221,0.639
24222,0.606
24223,0.593
24224,0.537
24225,0.502
24231,0.628
24232,0.595
24233,0.582
24234,0.526
24235,0.491
24241,0.515
24242,0.482
24243,0.469
24244,0.413
24245,0.378
24251,0.474
24252,0.441
24253,0.428
24254,0.372
24255,0.337
24311,0.651
24312,0.618
24313,0.605
24314,0.549
24315,0.514
24321,0.609
24322,0.576
24323,0.563
24324,0.507
24325,0.472
24331,0.598
24332,0.565
24333,0.552
24334,0.496
24335,0.461
24341,0.485
24342,0.452
24343,0.439
24344,0.383
24345,0.348
24351,0.444
24352,0.411
24353,0.398
24354,0.342
24355,0.307
24411,0.602
24412,0.569
24413,0.556
24414,0.5
24415,0.465
24421,0.56
24422,0.527
24423,0.514
24424,0.458
24425,0.423
24431,0.549
24432,0.516
24433,0.503
24434,0.447
24435,0.412
24441,0.436
24442,0.403
24443,0.39
24444,0.334
24445,0.299
24451,0.395
